unix_time,elapsed_s,policy,skill_cmd,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,q_14_rad,q_15_rad,q_16_rad,q_17_rad,q_18_rad,q_19_rad,q_20_rad,q_21_rad,q_22_rad,q_23_rad,q_24_rad,q_25_rad,q_26_rad,q_27_rad,q_28_rad
1777019942.4576545,3.1948089599609375e-05,SKILL_BEYOND_MIMIC,SKILL_5,-0.2678568959236145,0.052100807428359985,-0.03969357907772064,0.5046541094779968,-0.24966855347156525,-0.005348802078515291,-0.25976088643074036,-0.09321489930152893,-0.011892003007233143,0.4222623109817505,-0.16315191984176636,0.00312585337087512,-0.013405287638306618,0.005548019427806139,-0.03481881320476532,0.3401722311973572,0.19953735172748566,-0.006902913562953472,0.8711453080177307,0.0007669904152862728,-0.008400942198932171,0.003079945920035243,0.3297579288482666,-0.19958528876304626,0.002984072081744671,0.8087195158004761,-0.014309165067970753,0.03464639559388161,-0.005596633069217205
1777019942.4701297,0.012507200241088867,SKILL_BEYOND_MIMIC,INVALID,-0.2678568959236145,0.052092283964157104,-0.03965340182185173,0.5046541094779968,-0.24966855347156525,-0.005348802078515291,-0.2597523629665375,-0.09322342276573181,-0.011892003007233143,0.4222623109817505,-0.16310930252075195,0.0031680401880294085,-0.013432071544229984,0.005548016168177128,-0.034808967262506485,0.3401602506637573,0.19953735172748566,-0.006914897821843624,0.8711333274841309,0.0007430219557136297,-0.008388957940042019,0.003091930178925395,0.32976993918418884,-0.19959726929664612,0.003032008884474635,0.8087195158004761,-0.014321149326860905,0.03464639559388161,-0.005596633069217205
1777019942.4903831,0.0327606201171875,SKILL_BEYOND_MIMIC,INVALID,-0.2678568959236145,0.05211784690618515,-0.03968018665909767,0.504645586013794,-0.24966026842594147,-0.005363123491406441,-0.2597438395023346,-0.09322342276573181,-0.011878611519932747,0.4222623109817505,-0.16312631964683533,0.003139870474115014,-0.013432071544229984,0.00554041750729084,-0.03481386974453926,0.3401602506637573,0.19953735172748566,-0.006914897821843624,0.8711453080177307,0.0007550062146037817,-0.008388957940042019,0.003091930178925395,0.3297579288482666,-0.1995733082294464,0.002984072081744671,0.8087314963340759,-0.0142971808090806,0.03465837985277176,-0.005596633069217205
1777019942.5120769,0.05445432662963867,SKILL_BEYOND_MIMIC,INVALID,-0.25233814120292664,0.05838160216808319,-0.02938181906938553,0.48505324125289917,-0.24322204291820526,-0.02952711097896099,-0.23929929733276367,-0.08989126980304718,0.015869395807385445,0.4117034077644348,-0.16999779641628265,0.041699279099702835,-0.01613723486661911,0.004606257658451796,-0.03678540512919426,0.3479260206222534,0.20513398945331573,-0.004673847928643227,0.8330234885215759,0.024771394208073616,0.006567355245351791,-0.016022909432649612,0.3085099160671234,-0.19880631566047668,0.011361045762896538,0.8146037459373474,-0.03628823533654213,0.033495910465717316,-0.015627428889274597
1777019942.5307176,0.07309508323669434,SKILL_BEYOND_MIMIC,INVALID,-0.22321805357933044,0.06011158972978592,-0.016579166054725647,0.4569132328033447,-0.2296295017004013,-0.04538226127624512,-0.20348936319351196,-0.0759405717253685,0.05741105601191521,0.3665958344936371,-0.16774387657642365,0.0643860325217247,-0.023248331621289253,0.0006920344894751906,-0.04302181676030159,0.3699410557746887,0.2168785184621811,-0.013398364186286926,0.7873396277427673,0.022829949855804443,0.0088803106918931,-0.04996223375201225,0.3052382171154022,-0.1986265480518341,0.021871211007237434,0.8334069848060608,-0.0336996428668499,0.018551580607891083,-0.02653307467699051
1777019942.5504677,0.09284520149230957,SKILL_BEYOND_MIMIC,INVALID,-0.2021854817867279,0.06262561678886414,-0.020717263221740723,0.4375765323638916,-0.21906016767024994,-0.04073367267847061,-0.15821988880634308,-0.06267163902521133,0.09050243347883224,0.30231353640556335,-0.15445290505886078,0.05633813515305519,-0.024989277124404907,0.009944165125489235,-0.05305642634630203,0.3592391312122345,0.22789202630519867,-0.018935075029730797,0.7888975739479065,-0.021224062889814377,0.00022770027862861753,-0.09463942795991898,0.30697593092918396,-0.20387564599514008,0.022398516535758972,0.8713849782943726,-0.021571604534983635,-0.013062805868685246,-0.02732403390109539
1777019942.5709374,0.11331486701965332,SKILL_BEYOND_MIMIC,INVALID,-0.18075235188007355,0.06692928075790405,-0.022726047784090042,0.41743025183677673,-0.20977967977523804,-0.040802277624607086,-0.11402419954538345,-0.05724304914474487,0.09764031320810318,0.2483685314655304,-0.14596514403820038,0.04676814749836922,-0.013070490211248398,0.016355963423848152,-0.051258962601423264,0.33032119274139404,0.2382463961839676,-0.024627583101391792,0.8105291128158569,-0.04164518415927887,-0.012223909609019756,-0.14262425899505615,0.2832231819629669,-0.21044299006462097,0.03525758907198906,0.9267281293869019,-0.02305764891207218,-0.03299257159233093,-0.025442510843276978
1777019942.5907857,0.1331632137298584,SKILL_BEYOND_MIMIC,INVALID,-0.1542656272649765,0.07175280153751373,-0.01419540960341692,0.3960823714733124,-0.20377448201179504,-0.04429278522729874,-0.08047263324260712,-0.057004429399967194,0.09678322821855545,0.21088826656341553,-0.14095860719680786,0.04817911237478256,0.002423933008685708,0.02108217217028141,-0.04126492142677307,0.28440964221954346,0.2529270648956299,-0.032501220703125,0.8475723266601562,-0.03281280770897865,-0.026736807078123093,-0.190117746591568,0.24782179296016693,-0.22243919968605042,0.063480444252491,0.9861339330673218,-0.022829949855804443,-0.03636014088988304,-0.018731344491243362
1777019942.6112778,0.1536552906036377,SKILL_BEYOND_MIMIC,INVALID,-0.13749410212039948,0.07664449512958527,-0.0015802436973899603,0.3804272413253784,-0.19717779755592346,-0.048379652202129364,-0.06442549079656601,-0.058453191071748734,0.09409146010875702,0.19461102783679962,-0.12978693842887878,0.06039082258939743,0.011650948785245419,0.024539321660995483,-0.025503892451524734,0.23727567493915558,0.2641323208808899,-0.03840944170951843,0.8902841210365295,-0.0201694518327713,-0.04386226460337639,-0.23311714828014374,0.20767463743686676,-0.23155920207500458,0.10065551102161407,1.03632390499115,-0.02070874162018299,-0.038181740790605545,-0.004098604898899794
1777019942.6314552,0.17383265495300293,SKILL_BEYOND_MIMIC,INVALID,-0.12611708045005798,0.07914147526025772,0.01317762490361929,0.3654368221759796,-0.1879635900259018,-0.05487779155373573,-0.05955936387181282,-0.06426527351140976,0.08932394534349442,0.18956594169139862,-0.11471675336360931,0.07874242961406708,0.011610773392021656,0.026634950190782547,-0.007912637665867805,0.19135212898254395,0.2743189036846161,-0.04207661375403404,0.9328520894050598,-0.017676731571555138,-0.06060422584414482,-0.2717183530330658,0.1616072803735733,-0.236868217587471,0.1363445371389389,1.0770343542099,-0.02069675736129284,-0.04080628603696823,0.009695238433778286
