unix_time,elapsed_s,policy,skill_cmd,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,q_14_rad,q_15_rad,q_16_rad,q_17_rad,q_18_rad,q_19_rad,q_20_rad,q_21_rad,q_22_rad,q_23_rad,q_24_rad,q_25_rad,q_26_rad,q_27_rad,q_28_rad
1777187896.0020943,1.6689300537109375e-05,SKILL_BEYOND_MIMIC,SKILL_5,-0.3094448149204254,-0.01623803935945034,-0.005624596029520035,0.5884094834327698,-0.2900487780570984,0.008039167150855064,-0.2758336067199707,-0.036005936563014984,-0.028471169993281364,0.5605165958404541,-0.3116578459739685,0.016008568927645683,-0.015762262046337128,-0.014122780412435532,-0.005871568340808153,0.32672592997550964,0.193533256649971,-0.006807039957493544,0.8696113228797913,-2.3968450477696024e-05,-0.008137288503348827,0.0004074636672157794,0.32550352811813354,-0.18245983123779297,0.0037510625552386045,0.8260846138000488,-0.004542021546512842,0.023812655359506607,-0.004613926634192467
1777187896.0159986,0.013921022415161133,SKILL_BEYOND_MIMIC,INVALID,-0.30943629145622253,-0.016246560961008072,-0.0056112040765583515,0.5884094834327698,-0.2900446057319641,0.008046415634453297,-0.27581655979156494,-0.036005936563014984,-0.028471169993281364,0.5605421662330627,-0.3116578459739685,0.016008568927645683,-0.015762262046337128,-0.01411521527916193,-0.005876341834664345,0.32672592997550964,0.193533256649971,-0.00678307143971324,0.8695993423461914,-5.992112710373476e-05,-0.008137288503348827,0.00041944789700210094,0.3254915475845337,-0.18247181177139282,0.0037510625552386045,0.8260846138000488,-0.004506068769842386,0.02382463961839676,-0.004589958116412163
1777187896.0361528,0.034075260162353516,SKILL_BEYOND_MIMIC,INVALID,-0.3094448149204254,-0.01623803935945034,-0.005637987982481718,0.5884094834327698,-0.2900404632091522,0.008039211854338646,-0.27581655979156494,-0.036005936563014984,-0.028471169993281364,0.5605080723762512,-0.3116619288921356,0.01600135676562786,-0.01577565260231495,-0.01411521527916193,-0.005876341834664345,0.32672592997550964,0.193533256649971,-0.006771087180823088,0.8696113228797913,-4.793690095539205e-05,-0.008137288503348827,0.0004074636672157794,0.32547956705093384,-0.18245983123779297,0.0037630468141287565,0.8260606527328491,-0.004506068769842386,0.02382463961839676,-0.004625910893082619
1777187896.0565019,0.054424285888671875,SKILL_BEYOND_MIMIC,INVALID,-0.3035219609737396,-0.009658965282142162,0.004365758039057255,0.5827081799507141,-0.2933520972728729,0.017973242327570915,-0.26899033784866333,-0.038545526564121246,-0.03626525402069092,0.5569031834602356,-0.31227314472198486,0.01491907611489296,-0.01730232872068882,-0.01138775423169136,-0.006179088726639748,0.30248185992240906,0.19052521884441376,-0.05332980304956436,0.8899725079536438,-0.06569752097129822,-0.0019773971289396286,0.009167931973934174,0.30787473917007446,-0.19130419194698334,0.042028676718473434,0.8475603461265564,-0.0037270940374583006,0.03179414942860603,-0.005608617328107357
1777187896.0764673,0.07438969612121582,SKILL_BEYOND_MIMIC,INVALID,-0.2874748110771179,0.0005334843881428242,0.021306505426764488,0.5636526942253113,-0.2852124869823456,0.014757953584194183,-0.24787254631519318,-0.0536978505551815,-0.056339703500270844,0.5419127941131592,-0.31027665734291077,0.017968641594052315,-0.013043706305325031,-0.008341876789927483,-0.0010791986715048552,0.26142388582229614,0.19462381303310394,-0.11337076872587204,0.9528058171272278,-0.17200958728790283,0.004338289611041546,0.004685832187533379,0.2765839397907257,-0.21045498549938202,0.10549713671207428,0.9043775796890259,-0.0014381069922819734,0.040530648082494736,0.005800365004688501
1777187896.0967839,0.09470629692077637,SKILL_BEYOND_MIMIC,INVALID,-0.25219327211380005,0.0008402806706726551,0.026770399883389473,0.5298028588294983,-0.2629282474517822,0.013553670607507229,-0.2219141721725464,-0.07521618902683258,-0.08835972845554352,0.5168578028678894,-0.30457672476768494,0.02982337586581707,-0.0122669767588377,-0.003236328950151801,0.011066403239965439,0.21174927055835724,0.18190854787826538,-0.15101322531700134,1.0139493942260742,-0.2625144422054291,0.007298393175005913,-0.0006351639167405665,0.24031966924667358,-0.21739384531974792,0.1417374312877655,0.9600922465324402,0.0031997880432754755,0.04038684070110321,0.025442510843276978
1777187896.1166875,0.11460995674133301,SKILL_BEYOND_MIMIC,INVALID,-0.21214783191680908,-5.4541509598493576e-05,0.03189949691295624,0.48363006114959717,-0.24211762845516205,0.01343055721372366,-0.18443390727043152,-0.0924479067325592,-0.11388467997312546,0.4824199080467224,-0.28994327783584595,0.04115208610892296,-0.013324935920536518,0.002367048989981413,0.026084309443831444,0.1703198105096817,0.16344086825847626,-0.17809757590293884,1.0559301376342773,-0.32562339305877686,0.0023848607670515776,-0.009695238433778286,0.2049422413110733,-0.21908362209796906,0.16768327355384827,1.003894567489624,0.008341020904481411,0.02732403390109539,0.04375440627336502
1777187896.1366863,0.13460874557495117,SKILL_BEYOND_MIMIC,INVALID,-0.1652250587940216,0.0004823517519980669,0.03876953944563866,0.4327274560928345,-0.21819573640823364,0.011272476986050606,-0.14319539070129395,-0.10050130635499954,-0.12873628735542297,0.43944287300109863,-0.27078840136528015,0.04541192203760147,-0.012816044501960278,0.009561585262417793,0.043559275567531586,0.13303688168525696,0.15242736041545868,-0.18768495321273804,1.0922542810440063,-0.3423653542995453,-0.0063156867399811745,-0.0014980281703174114,0.16564595699310303,-0.21823273599147797,0.19080084562301636,1.044389247894287,0.010641992092132568,0.005560680292546749,0.05567871034145355
1777187896.1568406,0.15476298332214355,SKILL_BEYOND_MIMIC,INVALID,-0.11935052275657654,0.002749234437942505,0.044273607432842255,0.3819015622138977,-0.19443374872207642,0.009394155815243721,-0.10302215069532394,-0.10330508649349213,-0.1323922872543335,0.3904492259025574,-0.2447652369737625,0.04412810876965523,-0.012923179194331169,0.017057863995432854,0.05810965597629547,0.10244115442037582,0.1429598182439804,-0.19213110208511353,1.1299326419830322,-0.34196987748146057,-0.006159891840070486,0.001725728390738368,0.1215679794549942,-0.2232661098241806,0.20418722927570343,1.085710883140564,0.011265171691775322,-0.013697969727218151,0.060028985142707825
1777187896.1771858,0.1751081943511963,SKILL_BEYOND_MIMIC,INVALID,-0.08440133184194565,0.004266170784831047,0.047326959669589996,0.33538785576820374,-0.17334142327308655,0.0076406532898545265,-0.06512430310249329,-0.10575944930315018,-0.13540545105934143,0.34281912446022034,-0.2158641517162323,0.04337067902088165,-0.017288938164711,0.020354818552732468,0.071230947971344,0.0803062915802002,0.14669890701770782,-0.19220300018787384,1.1592341661453247,-0.34207773208618164,-0.007394266780465841,-0.004338289611041546,0.08451275527477264,-0.23365643620491028,0.2193233072757721,1.1250790357589722,0.010558102279901505,-0.02852245606482029,0.06775880604982376
