unix_time,elapsed_s,policy,skill_cmd,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,q_14_rad,q_15_rad,q_16_rad,q_17_rad,q_18_rad,q_19_rad,q_20_rad,q_21_rad,q_22_rad,q_23_rad,q_24_rad,q_25_rad,q_26_rad,q_27_rad,q_28_rad
1777189138.1748877,1.430511474609375e-05,SKILL_BEYOND_MIMIC,SKILL_5,-0.2987751364707947,-0.0060029784217476845,0.011878611519932747,0.5908723473548889,-0.31262150406837463,0.008886029943823814,-0.2768818140029907,-0.05132018029689789,-0.012427679263055325,0.5916052460670471,-0.3637883961200714,0.006858907174319029,-0.0195119921118021,-0.017290957272052765,-0.0066270772367715836,0.3249163031578064,0.19487549364566803,0.0024447820615023375,0.8611984252929688,-0.0010066749528050423,-0.010042781010270119,0.005081311333924532,0.3302253186702728,-0.18422150611877441,0.0033316146582365036,0.8176357746124268,-0.003775030840188265,0.01441702339798212,-0.004422178957611322
1777189138.1896799,0.014806509017944336,SKILL_BEYOND_MIMIC,INVALID,-0.2987751364707947,-0.006011500023305416,0.011878611519932747,0.5908808708190918,-0.31260910630226135,0.008893379010260105,-0.2768818140029907,-0.05131165683269501,-0.01244107075035572,0.5916052460670471,-0.36379241943359375,0.006851672660559416,-0.019458424299955368,-0.017298566177487373,-0.006641704123467207,0.3249163031578064,0.19487549364566803,0.0024567660875618458,0.8611984252929688,-0.0009707222343422472,-0.010042781010270119,0.005057343281805515,0.3302372992038727,-0.18422150611877441,0.0033435989171266556,0.8176237940788269,-0.003787015099078417,0.014429006725549698,-0.004422178957611322
1777189138.2098353,0.03496193885803223,SKILL_BEYOND_MIMIC,INVALID,-0.29878365993499756,-0.006011500023305416,0.011892003007233143,0.5908723473548889,-0.31261736154556274,0.00889330543577671,-0.2768988609313965,-0.05132870003581047,-0.012427679263055325,0.5916052460670471,-0.3637843430042267,0.006866141688078642,-0.01947181671857834,-0.017313718795776367,-0.006641857326030731,0.3249163031578064,0.19487549364566803,0.0024567660875618458,0.8611864447593689,-0.0009827064350247383,-0.010078733786940575,0.005081311333924532,0.3302493095397949,-0.18422150611877441,0.0033435989171266556,0.8176477551460266,-0.003775030840188265,0.014429006725549698,-0.00441019469872117
1777189138.2299302,0.05505681037902832,SKILL_BEYOND_MIMIC,INVALID,-0.33195173740386963,-0.02291937731206417,0.012200016528367996,0.643172562122345,-0.36213919520378113,-0.04498782008886337,-0.29278409481048584,-0.057865165174007416,-0.015748869627714157,0.6066893935203552,-0.39185598492622375,0.012282093055546284,-0.007151272147893906,-0.028611255809664726,-0.001787461806088686,0.32345423102378845,0.185371994972229,0.0076818885281682014,0.8265640139579773,0.04025501385331154,0.028091024607419968,0.013158679008483887,0.327409029006958,-0.16629311442375183,0.003487409558147192,0.7993358373641968,0.01137303002178669,0.04205264523625374,0.0006711166352033615
1777189138.2502959,0.07542252540588379,SKILL_BEYOND_MIMIC,INVALID,-0.3805704116821289,-0.03282207250595093,0.011396503075957298,0.7447306513786316,-0.4178095757961273,-0.11237244307994843,-0.3275116980075836,-0.08126689493656158,-0.050166040658950806,0.6428998708724976,-0.4097849428653717,0.009801353327929974,0.003066744189709425,-0.044289685785770416,-0.009108481928706169,0.32776856422424316,0.18304705619812012,0.02582600526511669,0.7774286866188049,0.09792310744524002,0.06875350326299667,0.03301654011011124,0.331783264875412,-0.16146346926689148,0.00717855105176568,0.7842716574668884,-0.006603308022022247,0.06765095144510269,0.0051891696639359
1777189138.2702231,0.09534978866577148,SKILL_BEYOND_MIMIC,INVALID,-0.42183446884155273,-0.026677630841732025,0.0068030827678740025,0.8339316248893738,-0.4466727077960968,-0.12076327949762344,-0.3466012477874756,-0.11648879200220108,-0.10388093441724777,0.666625440120697,-0.42686739563941956,0.019040493294596672,0.007499461527913809,-0.050015125423669815,-0.013741537928581238,0.32382574677467346,0.18092584609985352,0.032944634556770325,0.7398461699485779,0.13563746213912964,0.10030796378850937,0.0544443354010582,0.33271804451942444,-0.15638215839862823,0.02635331079363823,0.78900545835495,-0.053102102130651474,0.09318933635950089,0.019054917618632317
1777189138.290294,0.11542057991027832,SKILL_BEYOND_MIMIC,INVALID,-0.4388616681098938,0.0035758796148002148,0.02136007323861122,0.9085086584091187,-0.4671790301799774,-0.09189097583293915,-0.34771764278411865,-0.13561242818832397,-0.1539934128522873,0.6716960668563843,-0.43157321214675903,0.02038881555199623,0.01833350583910942,-0.05699412524700165,-0.018845289945602417,0.3251679837703705,0.19047728180885315,0.033975277096033096,0.7115393877029419,0.15004250407218933,0.11697801947593689,0.06340853869915009,0.3340003490447998,-0.1426841914653778,0.05968144163489342,0.7907431721687317,-0.10278870165348053,0.11688214540481567,0.022590264678001404
1777189138.310364,0.13549065589904785,SKILL_BEYOND_MIMIC,INVALID,-0.43145594000816345,0.049808353185653687,0.04183628037571907,0.975509524345398,-0.47894561290740967,-0.058793358504772186,-0.34262141585350037,-0.13788782060146332,-0.18120573461055756,0.6714318990707397,-0.42771226167678833,0.018149159848690033,0.04585384950041771,-0.07960531115531921,-0.025292174890637398,0.33476734161376953,0.2145296186208725,0.03476623818278313,0.702707052230835,0.14011956751346588,0.12229901552200317,0.06397179514169693,0.32834380865097046,-0.11761318892240524,0.08923453837633133,0.7851465344429016,-0.1317785382270813,0.13375593721866608,0.00920388475060463
1777189138.3304458,0.15557241439819336,SKILL_BEYOND_MIMIC,INVALID,-0.405744731426239,0.08710113167762756,0.055188000202178955,1.02496337890625,-0.4821251928806305,-0.036680739372968674,-0.3274179697036743,-0.13361825048923492,-0.18450014293193817,0.6683894991874695,-0.4209660291671753,0.0058979163877666,0.0709904357790947,-0.11848655343055725,-0.028257861733436584,0.34210169315338135,0.24905617535114288,0.03141065314412117,0.7150507569313049,0.10791794955730438,0.1203935295343399,0.06162288784980774,0.3081863224506378,-0.10312426090240479,0.12847089767456055,0.7857697010040283,-0.13089171051979065,0.14884407818317413,-0.00900015328079462
1777189138.350581,0.17570757865905762,SKILL_BEYOND_MIMIC,INVALID,-0.3709830045700073,0.10898592323064804,0.04784924164414406,1.039621353149414,-0.48406878113746643,-0.036374397575855255,-0.3097686767578125,-0.12726926803588867,-0.17955853044986725,0.6537314653396606,-0.4195937216281891,0.002914098557084799,0.0796549990773201,-0.15211272239685059,-0.023061193525791168,0.3448101282119751,0.28901156783103943,0.02353701926767826,0.7606387734413147,0.048176586627960205,0.11694207042455673,0.06011287495493889,0.2760326564311981,-0.10180599242448807,0.1844492107629776,0.8031588196754456,-0.11102186143398285,0.1582876443862915,-0.028126977384090424
